Country name,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Finland,7.80420017242432,0.0361623615026474,7.87507820129395,7.73332214355469,10.792010307312,0.968769609928131,71.1499938964844,0.961407899856567,-0.018824165686965,0.181744560599327,1.77782511711121,1.88838040828705,1.58489966392517,0.534573674201965,0.771509945392609,0.126331195235252,0.535298585891724,2.36324119567871
Denmark,7.58640003204346,0.0410279482603073,7.66681480407715,7.50598526000977,10.9621639251709,0.954112231731415,71.2501449584961,0.93353283405304,0.134242162108421,0.195813894271851,1.77782511711121,1.94940555095673,1.54787480831146,0.537302494049072,0.734415888786316,0.208458513021469,0.525221168994904,2.08376550674438
Iceland,7.52960014343262,0.0486115179955959,7.62487888336182,7.43432140350342,10.8955307006836,0.982533097267151,72.0500183105469,0.936349213123322,0.210986539721489,0.667847812175751,1.77782511711121,1.92550766468048,1.61966645717621,0.559096395969391,0.738163709640503,0.249635487794876,0.187118783593178,2.25038242340088
Israel,7.47289991378784,0.0316088572144508,7.53485345840454,7.41094636917114,10.6387052536011,0.943343997001648,72.6972045898438,0.8088658452034,-0.023080050945282,0.708093583583832,1.77782511711121,1.8333979845047,1.52067387104034,0.576730012893677,0.568518280982971,0.124047711491585,0.158292055130005,2.6912899017334
Netherlands,7.40299987792969,0.0292941853404045,7.46041631698608,7.34558343887329,10.9422788619995,0.930499315261841,71.5500183105469,0.886875092983246,0.212686151266098,0.378929287195206,1.77782511711121,1.94227385520935,1.48822796344757,0.545473039150238,0.672327220439911,0.250547409057617,0.394061654806137,2.1100435256958
Sweden,7.3951997756958,0.0373615100979805,7.46842813491821,7.32197141647339,10.8828229904175,0.93924868106842,72.1501541137695,0.947971045970917,0.164788573980331,0.202448382973671,1.77782511711121,1.92095017433167,1.51032900810242,0.56182473897934,0.753629207611084,0.224848091602325,0.520469129085541,1.90312719345093
Norway,7.31549978256226,0.0441427789628506,7.40201950073242,7.22898006439209,11.0877304077148,0.943476557731628,71.5000228881836,0.946616411209106,0.140636056661606,0.282744705677032,1.77782511711121,1.99443960189819,1.52100872993469,0.544110834598541,0.751826524734497,0.211889117956161,0.462955474853516,1.829270362854
Switzerland,7.24009990692139,0.0427887141704559,7.32396554946899,7.15623426437378,11.1640272140503,0.92043924331665,72.8999557495117,0.891074419021606,0.0266864188015461,0.266347587108612,1.77782511711121,2.02180314064026,1.46281599998474,0.582254350185394,0.677915334701538,0.150749772787094,0.474700212478638,1.8698468208313
Luxembourg,7.22790002822876,0.0690805241465569,7.36329793930054,7.09250211715698,11.6599493026733,0.878500759601593,71.6750030517578,0.914938449859619,0.0239496231079102,0.344978302717209,1.77782511711121,2.19966435432434,1.35687851905823,0.54887843132019,0.709671854972839,0.149281352758408,0.418379575014114,1.84518051147461
New Zealand,7.12290000915527,0.0382267981767654,7.19782447814941,7.04797554016113,10.661865234375,0.952398359775543,70.3500518798828,0.886574268341064,0.174828231334686,0.271205455064774,1.77782511711121,1.84170424938202,1.54354560375214,0.512777924537659,0.671926915645599,0.230234831571579,0.471220701932907,1.8515191078186
Austria,7.09730005264282,0.0404010862112045,7.17648601531982,7.01811408996582,10.8989057540894,0.888435840606689,71.1500473022461,0.854737281799316,0.101604469120502,0.49677437543869,1.77782511711121,1.92671811580658,1.38197469711304,0.534575164318085,0.629560589790344,0.190946832299232,0.309653073549271,2.12389612197876
Australia,7.09460020065308,0.0435496680438519,7.17995738983154,7.00924301147461,10.8210487365723,0.933870434761047,71.0499420166016,0.890199601650238,0.19756107032299,0.495915740728378,1.77782511711121,1.89879500865936,1.49674344062805,0.531847596168518,0.67675119638443,0.242432087659836,0.310268074274063,1.93774271011353
Canada,6.96070003509522,0.0416626334190369,7.04235887527466,6.87904119491577,10.7726554870605,0.92879331111908,71.4000396728516,0.874468147754669,0.152546510100365,0.420211404561996,1.77782511711121,1.88143885135651,1.48391854763031,0.541386604309082,0.655816972255707,0.218279644846916,0.36449259519577,1.81537675857544
Ireland,6.91079998016357,0.0435339249670506,6.99612665176392,6.82547330856323,11.527361869812,0.905368447303772,71.2999572753906,0.874381065368652,0.0916595235466957,0.357952237129211,1.77782511711121,2.15211224555969,1.42474675178528,0.538659691810608,0.655701100826263,0.18561090528965,0.409086793661118,1.54490518569946
United States,6.89370012283325,0.0469230115413666,6.98566913604736,6.80173110961914,11.0482492446899,0.919162154197693,65.8502502441406,0.800488114356995,0.136504903435707,0.688594698905945,1.77782511711121,1.98027980327606,1.45958995819092,0.390173345804214,0.557369828224182,0.209672555327415,0.172258466482162,2.12434816360474
Germany,6.89179992675781,0.0494862608611584,6.98879289627075,6.79480695724487,10.8786096572876,0.895954787731171,71.2998352050781,0.845851480960846,0.0300377290695906,0.419564127922058,1.77782511711121,1.91943895816803,1.40096783638001,0.538656353950501,0.617736041545868,0.152547910809517,0.364956229925156,1.89752531051636
Belgium,6.85909986495972,0.0339434407651424,6.92562913894653,6.7925705909729,10.8435869216919,0.914870977401733,70.8990859985352,0.82522851228714,0.00141938508022577,0.548573434352875,1.77782511711121,1.90687823295593,1.44875037670136,0.527737319469452,0.590292513370514,0.137192815542221,0.272551089525223,1.97574281692505
Czechia,6.8452000617981,0.0438173189759254,6.93108177185059,6.75931835174561,10.6110200881958,0.952577948570251,69.0497436523438,0.90251487493515,0.039763081818819,0.858949184417725,1.77782511711121,1.82346880435944,1.54399907588959,0.477348864078522,0.693139493465424,0.15776601433754,0.0502391494810581,2.09923934936523
United Kingdom,6.79559993743897,0.0415226258337498,6.87698411941528,6.71421575546265,10.7042446136475,0.882204711437225,70.3000030517578,0.85219156742096,0.253307521343231,0.454079747200012,1.77782511711121,1.85690343379974,1.36623477935791,0.511414289474487,0.626172959804535,0.272342681884766,0.340233832597733,1.82233810424805
Lithuania,6.76300001144409,0.0440351031720638,6.84930896759033,6.67669105529785,10.5678386688232,0.939346611499786,67.3969955444336,0.747852027416229,-0.145212829113007,0.805086731910706,1.77782511711121,1.80798184871674,1.51057648658752,0.432316988706589,0.487325608730316,0.0585177168250084,0.0888190567493439,2.37742948532104
